daily_return,total assets
0.0,100000.0
-220.06005859375,99560.27105034722
-20.8798828125,99344.17339409722
115.9200439453125,99266.03565809461
-159.84033203125,98907.8442111545
35.2001953125,98749.13330078124
-2041.80029296875,96512.63967556422
-333.899658203125,96021.85780164928
-2550.7197265625,93319.55585394963
3046.68017578125,96250.08047146264
-1332.80029296875,94763.51128472219
-432.520751953125,94192.03053114146
276.48046875,94333.91989474822
1461.9794921875,95658.74827745222
-219.23876953125,95289.86284722219
498.900146484375,95640.85632324216
2552.638671875,98041.89276801213
-914.9390869140625,96957.62479654945
-260.6396484375,96533.63625759546
654.35888671875,97026.25514051646
443.20068359375,97303.8891601562
-89.039794921875,97046.82047526038
765.16064453125,97644.4233398437
1425.53955078125,98898.54066297738
783.837890625,99504.06966145828
2039.501953125,101361.63384331594
3849.041015625,105019.67263454857
1067.0372314453125,105879.25874837235
-8472.23876953125,97195.17776150169
2361.75830078125,99378.71384006072
248.40087890625,99439.84361436628
1340.439697265625,100592.092203776
2910.08203125,103309.17868381072
-3348.1827392578125,99757.89594184024
-1497.357177734375,98068.71210394961
-555.0994873046875,97326.67928059891
1989.3603515625,99130.86851671003
-1869.9814453125,97069.57595486107
-1595.2392578125,95288.64114040794
1978.078857421875,97085.6888834635
2476.8017578125,99375.82397460933
-62.32080078125,99119.9565022786
-528.36328125,98398.21544053814
-1575.515380859375,96630.72006564666
-2072.404296875,94370.40687391488
-2247.29736328125,91940.4339599609
5201.677978515625,96964.98527018225
2976.984130859375,99752.27829318572
-10933.44140625,88622.10799153641
4029.759521484375,92480.44750976558
1348.9990234375,93648.88875325516
-710.93701171875,92754.39618598086
1132.55517578125,93704.94468858502
281.963623046875,93802.48164876297
-778.682373046875,92838.78149414058
-169.3975830078125,92485.96835666228
462.560546875,92765.4555664062
-1797.60546875,90967.8500976562
-3400.318359375,87567.5317382812
-7744.7958984375,79822.7358398437
-4309.7646484375,75512.9711914062
1005.7646484375,76518.7358398437
-209.439453125,76309.2963867187
-992.3251953125,75316.9711914062
-2290.4013671875,73026.5698242187
-5205.7578125,67820.8120117187
6356.0,74176.8120117187
-1239.8408203125,72936.9711914062
-3840.4775390625,69096.4936523437
1079.681640625,70176.1752929687
36.955078125,70213.1303710937
-399.833984375,69813.2963867187
-7491.681640625,62321.614746093706
2018.2353515625,64339.850097656206
3501.12109375,67840.9711914062
44.802734375,67885.7739257812
-6664.0,61221.773925781206
-852.318359375,60369.455566406206
4925.7578125,65295.213378906206
-439.0380859375,64856.175292968706
-3305.12109375,61551.054199218706
1831.197265625,63382.251464843706
-651.8408203125,62730.410644531206
12092.6435546875,74823.0541992187
-109.7578125,74713.2963867187
-142.2421875,74571.0541992187
-184.802734375,74386.2514648437
-3887.515625,70498.7358398437
-1310.4013671875,69188.3344726562
2185.12109375,71373.4555664062
-1027.044921875,70346.4106445312
707.8408203125,71054.2514648437
-225.12109375,70829.1303710937
676.484375,71505.6147460937
-1046.0830078125,70459.5317382812
819.8408203125,71279.3725585937
-561.12109375,70718.2514648437
-978.5439453125,69739.7075195312
-844.59375,68895.1137695312
-553.724609375,68341.3891601562
-2365.2138671875,65976.1752929687
-1935.36328125,64040.812011718706
-722.4013671875,63318.410644531206
-422.0166015625,62896.394042968706
2479.681640625,65376.075683593706
56.560546875,65432.636230468706
-346.076171875,65086.560058593706
-12273.857421875,52812.702636718706
2735.82080078125,55548.523437499956
-503.32666015625,55045.196777343706
-3460.6865234374936,51584.51025390621
-366.46435546875637,51218.045898437456
2393.88720703125,53611.933105468706
-4618.318359375,48993.614746093706
848.73291015625,49842.347656249956
314.49755859375,50156.845214843706
1610.67333984375,51767.518554687456
-157.6982421875,51609.820312499956
-1240.5107421875,50369.309570312456
410.25537109375,50779.564941406206
-1160.43115234375,49619.133789062456
-8685.4892578125,40933.644531249956
6246.3515625,47179.996093749956
18.9287109375,47198.924804687456
-789.93701171875,46408.987792968706
5009.087890625,51418.075683593706
6361.4892578125,57779.564941406206
1322.6103515625,59102.175292968706
-3520.384765625,55581.790527343706
-1827.61865234375,53754.171874999956
2455.0415039062564,56209.21337890621
-380.46435546875637,55828.749023437456
-268.23876953124363,55560.51025390621
-879.087890625,54681.42236328121
378.44775390624363,55059.870117187456
1026.142578125,56086.012695312456
-4369.791015625,51716.221679687456
-318.97509765625,51397.246582031206
-2487.6318359375,48909.614746093706
436.23876953125,49345.853515624956
775.4892578125,50121.342773437456
48.8291015625,50170.171874999956
1132.88232421875,51303.054199218706
-938.8955078125,50364.158691406206
-1300.88232421875,49063.276367187456
-152.20556640624363,48911.07080078121
-327.154296875,48583.91650390621
-506.23876953125637,48077.677734374956
1104.208984375,49181.886718749956
150.97509765625,49332.861816406206
1040.703125,50373.564941406206
556.86572265625,50930.430664062456
-1741.26708984375,49189.163574218706
288.51416015625,49477.677734374956
-88.59375,49389.083984374956
369.71142578125637,49758.79541015621
367.36328124999363,50126.158691406206
90.27197265625,50216.430664062456
94.64013671875637,50311.07080078121
-295.56884765625637,50015.501953124956
-9.296875,50006.205078124956
