daily_return,total assets
0.0,100000.0
-440.1201171875,99120.54210069444
-41.759765625,98688.34678819444
231.840087890625,98532.07131618923
-319.6806640625,97815.68842230903
70.400390625,97498.2666015625
-4083.6005859375,93025.27935112847
-667.79931640625,92043.71560329861
-5101.439453125,86639.1117078993
6093.3603515625,92500.16094292534
-2665.6005859375,89527.02256944444
-865.04150390625,88384.06106228297
552.9609375,88667.83978949652
2923.958984375,91317.4965549045
-438.4775390625,90579.72569444444
997.80029296875,91281.71264648436
5105.27734375,96083.78553602428
-1829.878173828125,93915.24959309894
-521.279296875,93067.27251519097
1308.7177734375,94052.51028103297
886.4013671875,94607.7783203125
-178.07958984375,94093.64095052083
1530.3212890625,95288.8466796875
2851.0791015625,97797.08132595484
1567.67578125,99008.13932291666
4079.00390625,102723.26768663194
7698.08203125,110039.34526909722
2134.074462890625,111758.51749674478
-16944.4775390625,94390.35552300347
4723.5166015625,98757.42768012152
484.3817138671875,99148.17384168836
2529.5394287109375,101677.7132703993
5319.993713378906,106997.7069837782
-5935.414855957031,101062.29212782117
-2576.3351440429688,98485.9569837782
-927.8091430664062,97558.1478407118
3232.7105712890625,100790.85841200086
-2956.59228515625,97834.26612684461
-2455.828857421875,95378.43726942273
2967.1182861328125,98345.55555555555
3622.3225708007812,101967.87812635633
-88.921142578125,101878.9569837782
-735.9345703125,101143.0224134657
-2143.4337158203125,98999.58869764539
-2755.355712890625,96244.23298475477
-2921.486572265625,93322.74641248914
6615.177429199219,99937.92384168836
3705.3951416015625,103643.31898328992
-13325.131713867188,90318.18726942273
4811.0394287109375,95129.22669813367
1578.328857421875,96707.55555555555
-815.486572265625,95892.06898328992
1274.1245727539062,97166.19355604383
311.2239990234375,97477.41755506727
-843.5725708007812,96633.84498426648
-180.17742919921875,96453.66755506727
483.2105712890625,96936.87812635633
-1877.855712890625,95059.0224134657
-3552.1182861328125,91506.90412733289
-8090.545715332031,83416.35841200086
-4502.164855957031,78914.19355604383
1050.6648559570312,79964.85841200086
-218.7894287109375,79746.06898328992
-1036.6254272460938,78709.44355604383
-2392.6514282226562,76316.79212782117
-5438.15771484375,70878.63441297742
6639.75,77518.38441297742
-1295.1908569335938,76223.19355604383
-4011.9274291992188,72211.26612684461
1127.8817138671875,73339.1478407118
38.6048583984375,73377.75269911023
-417.6837158203125,72960.06898328992
-7826.1317138671875,65133.937269422735
2108.3351440429688,67242.2724134657
3657.421142578125,70899.69355604383
46.8028564453125,70946.49641248914
-6961.5,63984.99641248914
-890.3682861328125,63094.62812635633
5145.65771484375,68240.28584120008
-458.63800048828125,67781.6478407118
-3452.671142578125,64328.97669813367
1912.9471435546875,66241.92384168836
-680.9408569335938,65560.98298475477
12632.493713378906,78193.47669813367
-114.65771484375,78078.81898328992
-148.59228515625,77930.22669813367
-193.0528564453125,77737.17384168836
-4061.0654296875,73676.10841200086
-1368.9014282226562,72307.2069837782
2282.671142578125,74589.87812635633
-1072.8951416015625,73516.98298475477
739.4408569335938,74256.42384168836
-235.171142578125,74021.25269911023
706.6845703125,74727.93726942273
-1092.7831420898438,73635.15412733289
856.4408569335938,74491.59498426648
-586.171142578125,73905.42384168836
-1022.2289428710938,72883.19489881727
-882.298828125,72000.89607069227
-578.4444580078125,71422.45161268445
-2470.8037719726562,68951.6478407118
-2021.763427734375,66929.88441297742
-754.6514282226562,66175.23298475477
-440.85662841796875,65734.3763563368
2590.3817138671875,68324.75807020398
59.0855712890625,68383.84364149305
-361.5260009765625,68022.31764051648
-12821.797485351562,55200.52015516492
2857.9556579589844,58058.47581312391
-525.7966003417969,57532.67921278211
-3615.1814575195244,53917.497755262586
-382.8243713378973,53534.67338392469
2500.7571716308594,56035.43055555555
-4824.4932861328125,51210.937269422735
886.6227722167969,52097.56004163953
328.5376281738281,52426.09766981336
1682.5783996582031,54108.67606947156
-164.73834228515625,53943.93772718641
-1295.8906860351562,52648.04704115125
428.5703430175781,53076.61738416883
-1212.2361145019531,51864.381269666876
-9073.234313964844,42791.14695570203
6525.20654296875,49316.35349867078
19.77374267578125,49336.12724134656
-825.2020568847656,48510.9251844618
5232.7078857421875,53743.633070203985
6645.484313964844,60389.11738416883
1381.6554565429688,61770.7728407118
-3677.5447998046875,58093.22804090711
-1909.2087707519531,56184.01927015516
2564.6415710449287,58748.660841200086
-397.4493713378973,58351.21146986219
-280.2137145996027,58070.997755262586
-918.3328857421875,57152.6648695204
395.3427429199152,57548.00761244031
1071.9525146484375,58619.96012708875
-4564.8709716796875,54055.08915540906
-333.2150573730469,53721.874098036016
-2598.6868286132812,51123.187269422735
455.7137145996094,51578.900984022344
810.1093139648438,52389.01029798719
51.00897216796875,52440.01927015516
1183.4574279785156,53623.47669813367
-980.8104858398438,52642.66621229383
-1358.9574279785156,51283.70878431531
-159.00045776366522,51124.70832655165
-341.7593994140625,50782.948927137586
-528.838714599616,50254.11021253797
1153.5040283203125,51407.61424085828
157.71505737304688,51565.32929823133
1087.1630859375,52652.49238416883
581.7257995605469,53234.218183729376
-1819.0022277832031,51415.21595594617
301.3942565917969,51716.61021253797
-92.548828125,51624.06138441297
386.216400146491,52010.27778455946
383.76342773436835,52394.04121229383
94.30197143554688,52488.343183729376
98.86514282227228,52587.20832655165
-308.7638854980535,52278.444441053594
-9.7119140625,52268.732526991094
