daily_return,total assets
0.0,100000.0
-550.150146484375,98900.67762586806
-20.8798828125,98791.9497450087
173.88006591796875,98480.68536105687
-159.84033203125,98231.58702731664
24.64013671875,98168.9671664768
-850.7501220703125,97142.99304538305
-238.499755859375,96512.28775024416
-1275.35986328125,95100.50388793947
1015.56005859375,96011.52394409181
-333.2000732421875,95609.12786865236
-78.64013671875,95467.95573120119
23.0400390625,95369.86377563479
393.60986328125,95420.59586520727
-93.95947265625,94952.51974080405
166.300048828125,94985.70378621422
717.9296264648438,95635.41241048179
-188.36981201171875,95294.64660237632
-43.43994140625,95177.69966023765
68.8798828125,95101.01353963217
99.72015380859375,94786.81703355578
-16.9599609375,94694.24407213
226.0701904296875,94501.41981268988
371.8798828125,94796.15969306098
277.6092529296875,94627.99671563042
611.8505859375,95076.1033074273
962.26025390625,95866.46155938042
237.119384765625,96010.22794121636
-1512.8997802734375,94306.67016533746
366.479736328125,94592.94990166559
33.1201171875,94541.79802178277
151.3399658203125,94608.45198906792
545.640380859375,94671.60349188911
-558.0304565429688,94022.17803412543
-198.17962646484375,93651.35441351996
-55.50994873046875,93427.60446234808
165.780029296875,93510.05748969184
-126.35009765625,93297.61738959419
-83.9599609375,93130.0944281684
76.0799560546875,93124.71038275825
61.9200439453125,93102.63042670356
-0.760009765625,93014.77441474066
-0.0,92927.75441351996
18.3199462890625,91122.2644165039
70.650146484375,87622.64556070963
99.8798828125,85987.10771213107
-282.69989013671875,84021.70447319877
-190.020263671875,82029.61868489582
911.1201171875,79202.8897894965
-370.0799560546875,77204.31980251733
-134.89990234375,75354.12099066838
34.849853515625,83235.970844184
-65.3397216796875,81441.56772732202
-18.6202392578125,79670.89419080943
64.89019775390625,76220.44653862844
15.3997802734375,74493.39855143226
-49.56005859375,70965.44508734805
112.350341796875,78943.41563788516
242.8798828125,77472.26335517032
207.44989013671875,85104.43812934024
153.920166015625,83754.4026882595
8.98004150390625,88952.56659817162
-0.0,88884.2765957302
8.86004638671875,87455.40658026797
40.9000244140625,86077.28108520503
-139.43994140625,85575.77449340816
454.0,85693.53005438906
-77.49005126953125,85549.84100409609
-171.44989013671875,85248.20711737734
38.56005859375,85225.10417548282
0.659912109375,85100.51008368595
-3.5699462890625,85034.28013983829
-401.340087890625,84286.81225789385
90.09979248046875,84321.29804890948
125.0400390625,84388.92209065752
0.800048828125,84268.63814290361
-59.5,84148.55614217119
7.6099853515625,81849.48165215383
-87.9599609375,80624.24497816294
11.75994873046875,79405.881588406
118.0400390625,78302.07380845808
-98.099853515625,75884.87613593203
46.56005859375,73543.30514526363
-971.7302856445312,71389.79601711693
9.7998046875,69989.88024563255
13.97021484375,68596.20373196068
9.900146484375,74928.44897121849
242.9697265625,73769.93650648324
23.4000244140625,79770.2617628309
-58.530029296875,78408.22615220807
-18.340087890625,82147.95019395612
6.32000732421875,82091.4912034776
2.010009765625,79416.14794175886
-12.080078125,78069.63458184132
-28.02008056640625,77687.09227091467
14.6400146484375,77638.8522867838
-0.0,77511.62828776037
8.73699951171875,76188.02198486323
15.08203125,74889.20549045134
14.8319091796875,73606.05879584413
84.471923828125,72402.9893853081
103.68017578125,70020.75170084629
45.15008544921875,68859.42291802294
30.14404296875,67696.7047851562
-66.4200439453125,72962.36848144526
1.010009765625,76405.50921630854
-3.0899658203125,76344.02755126948
109.5880126953125,74001.23478597
-48.85394287109375,72957.54292534717
13.481964111328125,71924.61892089839
-61.797973632812386,74760.73572998041
-3.272003173828182,74711.4364257812
-21.373992919921875,72760.50262518984
82.469970703125,71833.06981811518
-30.3118896484375,69957.05564439556
-14.040069580078125,69004.166491021
-86.28607177734375,67973.1033060709
9.85614013671875,67007.822418891
22.1519775390625,71404.71482916932
-14.6519775390625,69492.4990563286
-10.360992431640625,72970.90025261766
-0.0,72926.6277520073
-55.77099609375,72099.92965562601
-0.3380126953125,71210.9257731119
-21.159027099609375,70955.81341417093
357.7919921875,71083.57041286885
340.7940673828125,71332.60708279072
47.236083984375,71276.72596706807
-94.2960205078125,71129.69044460713
-16.318023681640625,71014.17981838643
0.0,70966.21531948507
3.397003173828182,69910.75287306037
4.789978027343636,68863.85485263393
23.5469970703125,67840.76993916821
-16.89498901367159,65763.75134718145
0.0,70431.12993299688
39.0159912109375,69413.6087097167
8.543975830078125,67473.81244167742
111.05499267578125,65648.55204535581
-23.36993408203125,64703.91430257153
-55.39208984375,62789.54108615444
-3.92376708984375,61841.50939873581
-101.15020751953125,60795.330881076305
92.21295166015625,59921.16158989792
69.69012451171875,64259.933348931125
9.512847900390227,63345.28198852531
23.3681640625,62447.354898410296
45.19989013671932,60662.29747789163
-108.4490966796875,59648.26192491312
-16.1759033203125,58705.68610229484
-65.0439453125,62822.24771728508
-44.748138427734375,60879.775362820015
171.01730346679688,59132.07549641919
-30.9122314453125,58174.62618272561
5.537109375,62374.052345445336
-29.708953857422387,60483.73254496248
-13.120117187499773,64688.34628397615
-4.029998779296875,63740.11758863652
-5.070007324219091,62789.14732971183
18.473052978516023,61859.93623962394
0.6640625,60918.4873972574
